group,date,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn
D,2011-01,0.2534,0.108,0.1454
E,2011-01,0.2957,0.147,0.1487
HR,2011-01,0.28825,0.193,0.09525
A,2011-02,0.0788,0.035,0.0438
AA,2011-02,0.05,0.0155,0.037
B,2011-02,0.1277,0.0595,0.0682
C,2011-02,0.1806,0.087,0.0936
D,2011-02,0.2437,0.108,0.1357
E,2011-02,0.2957,0.147,0.1487
HR,2011-02,0.2917,0.183,0.1087
A,2011-03,0.0788,0.035,0.0438
AA,2011-03,0.0555,0.0155,0.04
B,2011-03,0.1277,0.0595,0.0682
C,2011-03,0.1806,0.087,0.0936
D,2011-03,0.2437,0.108,0.1357
E,2011-03,0.2957,0.147,0.1487
HR,2011-03,0.2917,0.183,0.1087
A,2011-04,0.0938,0.035,0.0588
AA,2011-04,0.0555,0.0155,0.04
B,2011-04,0.1377,0.0595,0.0782
C,2011-04,0.1806,0.087,0.0936
D,2011-04,0.2437,0.108,0.1357
E,2011-04,0.2957,0.147,0.1487
HR,2011-04,0.2917,0.183,0.1087
A,2011-05,0.0926,0.026,0.0666
AA,2011-05,0.0749,0.0195,0.06015
B,2011-05,0.1473,0.0595,0.0878
C,2011-05,0.1757,0.061,0.1147
D,2011-05,0.2437,0.112,0.1317
E,2011-05,0.2861,0.147,0.1487
HR,2011-05,0.2917,0.203,0.0887
A,2011-06,0.1037,0.026,0.0666
AA,2011-06,0.0799,0.0195,0.0604
B,2011-06,0.1473,0.0595,0.0878
C,2011-06,0.1757,0.061,0.1147
D,2011-06,0.2534,0.112,0.1414
E,2011-06,0.2957,0.147,0.1487
HR,2011-06,0.2917,0.203,0.0887
A,2011-07,0.0926,0.026,0.0666
AA,2011-07,0.0799,0.0195,0.0604
B,2011-07,0.1669,0.0595,0.1074
C,2011-07,0.1757,0.061,0.1147
D,2011-07,0.2534,0.112,0.1414
E,2011-07,0.2957,0.147,0.1487
HR,2011-07,0.2917,0.17,0.1148
A,2011-08,0.1225,0.026,0.0905
AA,2011-08,0.0799,0.0195,0.0604
B,2011-08,0.1669,0.0595,0.1074
C,2011-08,0.1757,0.061,0.1147
D,2011-08,0.2534,0.112,0.1414
E,2011-08,0.2957,0.147,0.1487
HR,2011-08,0.2917,0.165,0.1267
A,2011-09,0.1225,0.038,0.0905
AA,2011-09,0.0799,0.0195,0.0604
B,2011-09,0.1669,0.0595,0.1074
C,2011-09,0.1757,0.061,0.1147
D,2011-09,0.2534,0.112,0.1414
E,2011-09,0.2957,0.147,0.1487
HR,2011-09,0.2917,0.165,0.1267
A,2011-10,0.1007,0.02,0.0807
AA,2011-10,0.0754,0.015,0.0604
B,2011-10,0.1669,0.0595,0.1074
C,2011-10,0.2056,0.085,0.1206
D,2011-10,0.2437,0.112,0.1317
E,2011-10,0.2909,0.147,0.1439
HR,2011-10,0.2917,0.165,0.1267
A,2011-11,0.1051,0.038,0.0771
AA,2011-11,0.0754,0.015,0.0604
B,2011-11,0.1537,0.0595,0.0973
C,2011-11,0.2056,0.085,0.1206
D,2011-11,0.24,0.112,0.1317
E,2011-11,0.2909,0.147,0.143
HR,2011-11,0.2896,0.165,0.1246
A,2011-12,0.1051,0.038,0.0672
AA,2011-12,0.0704,0.015,0.0554
B,2011-12,0.1495,0.0595,0.0914
C,2011-12,0.1974,0.085,0.1124
D,2011-12,0.2352,0.112,0.1232
E,2011-12,0.2837,0.147,0.1352
HR,2011-12,0.285,0.165,0.12
A,2012-01,0.0897,0.038,0.0597
AA,2012-01,0.0549,0.015,0.0399
B,2012-01,0.1326,0.0595,0.0806
C,2012-01,0.1904,0.089,0.1029
D,2012-01,0.2392,0.112,0.1241
E,2012-01,0.2822,0.147,0.1352
HR,2012-01,0.2896,0.165,0.1246
A,2012-02,0.0897,0.033,0.0597
AA,2012-02,0.0549,0.01,0.0449
B,2012-02,0.1326,0.0565,0.0806
C,2012-02,0.1904,0.089,0.1029
D,2012-02,0.2294,0.119,0.1202
E,2012-02,0.2766,0.147,0.1276
HR,2012-02,0.2896,0.165,0.1246
A,2012-03,0.0897,0.033,0.0597
AA,2012-03,0.0549,0.01,0.0449
B,2012-03,0.1326,0.0565,0.0906
C,2012-03,0.1904,0.089,0.1083
D,2012-03,0.2294,0.119,0.1144
E,2012-03,0.2766,0.147,0.1276
HR,2012-03,0.2896,0.165,0.1246
A,2012-04,0.1166,0.033,0.0836
AA,2012-04,0.0649,0.01,0.0549
B,2012-04,0.1639,0.0565,0.1074
C,2012-04,0.2,0.089,0.111
D,2012-04,0.234,0.119,0.115
E,2012-04,0.2766,0.147,0.1276
HR,2012-04,0.2896,0.165,0.1246
A,2012-05,0.1166,0.033,0.0836
AA,2012-05,0.0649,0.01,0.0549
B,2012-05,0.1639,0.0565,0.1074
C,2012-05,0.2,0.089,0.111
D,2012-05,0.234,0.119,0.115
E,2012-05,0.2766,0.147,0.1276
HR,2012-05,0.2896,0.165,0.1246
A,2012-06,0.1048,0.0249,0.0718
AA,2012-06,0.0649,0.01,0.0549
B,2012-06,0.1639,0.0565,0.1074
C,2012-06,0.2,0.089,0.111
D,2012-06,0.234,0.099,0.115
E,2012-06,0.2766,0.147,0.1276
HR,2012-06,0.2896,0.165,0.1246
A,2012-07,0.1048,0.033,0.0718
AA,2012-07,0.0649,0.01,0.055
B,2012-07,0.15,0.0565,0.0935
C,2012-07,0.1952,0.088,0.111
D,2012-07,0.2364,0.1125,0.1189
E,2012-07,0.2738,0.147,0.1263
HR,2012-07,0.2896,0.165,0.1246
A,2012-08,0.1095,0.0249,0.0746
AA,2012-08,0.0739,0.0174,0.0565
B,2012-08,0.1552,0.05615,0.0953
C,2012-08,0.1952,0.0749,0.1103
D,2012-08,0.2364,0.1025,0.1189
E,2012-08,0.27095,0.1425,0.12595
HR,2012-08,0.2896,0.1625,0.1246
A,2012-09,0.1095,0.0249,0.0746
AA,2012-09,0.0739,0.0174,0.0565
B,2012-09,0.1552,0.05115,0.0953
C,2012-09,0.1952,0.0749,0.1103
D,2012-09,0.232,0.1025,0.1189
E,2012-09,0.2681,0.1425,0.1256
HR,2012-09,0.2896,0.1625,0.1271
A,2012-10,0.1091,0.0249,0.0821
AA,2012-10,0.0746,0.0174,0.0553
B,2012-10,0.1487,0.0549,0.0888
C,2012-10,0.1863,0.0724,0.1103
D,2012-10,0.2206,0.1025,0.1123
E,2012-10,0.2643,0.1425,0.1168
HR,2012-10,0.2799,0.1625,0.1174
A,2012-11,0.1091,0.0274,0.0749
AA,2012-11,0.0723,0.0174,0.0549
B,2012-11,0.1576,0.0549,0.1127
C,2012-11,0.1852,0.0749,0.1003
D,2012-11,0.219,0.1025,0.1065
E,2012-11,0.2575,0.1425,0.115
HR,2012-11,0.2799,0.1625,0.1174
A,2012-12,0.1061,0.0299,0.0712
AA,2012-12,0.0723,0.0174,0.0549
B,2012-12,0.1452,0.0549,0.0878
C,2012-12,0.1852,0.0774,0.1003
D,2012-12,0.2206,0.1025,0.1079
E,2012-12,0.2575,0.1375,0.115
HR,2012-12,0.2799,0.1625,0.1174
A,2013-01,0.1061,0.0324,0.0712
AA,2013-01,0.0701,0.0149,0.0547
B,2013-01,0.1452,0.0524,0.0878
C,2013-01,0.1852,0.0774,0.0999
D,2013-01,0.219,0.1025,0.1065
E,2013-01,0.2382,0.1275,0.1107
HR,2013-01,0.276,0.1575,0.1185
A,2013-02,0.1015,0.0324,0.0691
AA,2013-02,0.06565,0.0149,0.0508
B,2013-02,0.1404,0.0524,0.0868
C,2013-02,0.1783,0.0774,0.0999
D,2013-02,0.2148,0.1075,0.1065
E,2013-02,0.2382,0.1275,0.1107
HR,2013-02,0.276,0.1575,0.1185
A,2013-03,0.103,0.0324,0.0706
AA,2013-03,0.0684,0.0174,0.0517
B,2013-03,0.1382,0.0499,0.0868
C,2013-03,0.1765,0.0749,0.0999
D,2013-03,0.2126,0.1025,0.1065
E,2013-03,0.2447,0.1275,0.1122
HR,2013-03,0.276,0.1575,0.1185
A,2013-04,0.103,0.0324,0.0706
AA,2013-04,0.0684,0.0174,0.051
B,2013-04,0.1404,0.0524,0.0876
C,2013-04,0.1783,0.0749,0.1044
D,2013-04,0.2148,0.1025,0.1079
E,2013-04,0.2447,0.1275,0.1122
HR,2013-04,0.276,0.1575,0.1185
A,2013-05,0.1061,0.0349,0.0712
AA,2013-05,0.0647,0.0149,0.0498
B,2013-05,0.1404,0.0524,0.0878
C,2013-05,0.18,0.0749,0.1044
D,2013-05,0.2148,0.1025,0.1079
